Loading cuda/11.8.0/4w5kyjs
  Loading requirement: libxml2/2.9.13/f5kumg5
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:02<00:06,  2.05s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:04<00:04,  2.03s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:06<00:02,  2.16s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:06<00:00,  1.49s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:06<00:00,  1.71s/it]
Some weights of LlamaForCausalLM were not initialized from the model checkpoint at meta-llama/Meta-Llama-3-8B and are newly initialized: ['model.layers.1.self_attn.rotary_emb.inv_freq', 'model.layers.5.self_attn.rotary_emb.inv_freq', 'model.layers.27.self_attn.rotary_emb.inv_freq', 'model.layers.9.self_attn.rotary_emb.inv_freq', 'model.layers.6.self_attn.rotary_emb.inv_freq', 'model.layers.2.self_attn.rotary_emb.inv_freq', 'model.layers.0.self_attn.rotary_emb.inv_freq', 'model.layers.18.self_attn.rotary_emb.inv_freq', 'model.layers.3.self_attn.rotary_emb.inv_freq', 'model.layers.8.self_attn.rotary_emb.inv_freq', 'model.layers.12.self_attn.rotary_emb.inv_freq', 'model.layers.22.self_attn.rotary_emb.inv_freq', 'model.layers.14.self_attn.rotary_emb.inv_freq', 'model.layers.13.self_attn.rotary_emb.inv_freq', 'model.layers.16.self_attn.rotary_emb.inv_freq', 'model.layers.26.self_attn.rotary_emb.inv_freq', 'model.layers.31.self_attn.rotary_emb.inv_freq', 'model.layers.7.self_attn.rotary_emb.inv_freq', 'model.layers.21.self_attn.rotary_emb.inv_freq', 'model.layers.17.self_attn.rotary_emb.inv_freq', 'model.layers.23.self_attn.rotary_emb.inv_freq', 'model.layers.19.self_attn.rotary_emb.inv_freq', 'model.layers.29.self_attn.rotary_emb.inv_freq', 'model.layers.25.self_attn.rotary_emb.inv_freq', 'model.layers.24.self_attn.rotary_emb.inv_freq', 'model.layers.4.self_attn.rotary_emb.inv_freq', 'model.layers.10.self_attn.rotary_emb.inv_freq', 'model.layers.15.self_attn.rotary_emb.inv_freq', 'model.layers.28.self_attn.rotary_emb.inv_freq', 'model.layers.20.self_attn.rotary_emb.inv_freq', 'model.layers.11.self_attn.rotary_emb.inv_freq', 'model.layers.30.self_attn.rotary_emb.inv_freq']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/adyan/cs539/venv/lib/python3.9/site-packages/peft/utils/other.py:102: FutureWarning: prepare_model_for_int8_training is deprecated and will be removed in a future version. Use prepare_model_for_kbit_training instead.
  warnings.warn(
Map:   0%|          | 0/23268 [00:00<?, ? examples/s]Map:   4%|▍         | 1000/23268 [00:00<00:07, 3088.44 examples/s]Map:   9%|▊         | 2000/23268 [00:00<00:06, 3242.42 examples/s]Map:  13%|█▎        | 3000/23268 [00:00<00:06, 3317.33 examples/s]Map:  17%|█▋        | 4000/23268 [00:01<00:05, 3259.62 examples/s]Map:  21%|██▏       | 5000/23268 [00:01<00:05, 3295.49 examples/s]Map:  26%|██▌       | 6000/23268 [00:01<00:05, 3310.08 examples/s]Map:  30%|███       | 7000/23268 [00:02<00:04, 3302.25 examples/s]Map:  34%|███▍      | 8000/23268 [00:02<00:04, 3247.85 examples/s]Map:  39%|███▊      | 9000/23268 [00:02<00:04, 3284.48 examples/s]Map:  43%|████▎     | 10000/23268 [00:03<00:04, 3278.74 examples/s]Map:  47%|████▋     | 11000/23268 [00:03<00:03, 3318.62 examples/s]Map:  52%|█████▏    | 12000/23268 [00:03<00:03, 3340.40 examples/s]Map:  56%|█████▌    | 13000/23268 [00:03<00:03, 3348.93 examples/s]Map:  60%|██████    | 14000/23268 [00:04<00:02, 3319.12 examples/s]Map:  64%|██████▍   | 15000/23268 [00:04<00:02, 3329.81 examples/s]Map:  69%|██████▉   | 16000/23268 [00:04<00:02, 3323.11 examples/s]Map:  73%|███████▎  | 17000/23268 [00:05<00:01, 3257.65 examples/s]Map:  77%|███████▋  | 18000/23268 [00:05<00:01, 3266.75 examples/s]Map:  82%|████████▏ | 19000/23268 [00:05<00:01, 3310.40 examples/s]Map:  86%|████████▌ | 20000/23268 [00:06<00:01, 3252.53 examples/s]Map:  90%|█████████ | 21000/23268 [00:06<00:00, 3258.74 examples/s]Map:  95%|█████████▍| 22000/23268 [00:06<00:00, 3234.53 examples/s]Map:  99%|█████████▉| 23000/23268 [00:07<00:00, 3187.09 examples/s]Map: 100%|██████████| 23268/23268 [00:07<00:00, 3173.43 examples/s]
Map:   0%|          | 0/2586 [00:00<?, ? examples/s]Map:  39%|███▊      | 1000/2586 [00:00<00:00, 3255.59 examples/s]Map:  77%|███████▋  | 2000/2586 [00:00<00:00, 3176.83 examples/s]Map: 100%|██████████| 2586/2586 [00:00<00:00, 3153.24 examples/s]Map: 100%|██████████| 2586/2586 [00:00<00:00, 3002.22 examples/s]
You have loaded a model on multiple GPUs. `is_model_parallel` attribute will be force-set to `True` to avoid any unexpected behavior such as device placement mismatching.
The model is loaded in 8-bit precision. To train this model you need to add additional modules inside the model such as adapters using `peft` library and freeze the model weights. Please check  the examples in https://github.com/huggingface/peft for more details.
max_steps is given, it will override any value given in num_train_epochs
Currently training with a batch size of: 4
***** Running training *****
  Num examples = 23,268
  Num Epochs = 1
  Instantaneous batch size per device = 1
  Training with DataParallel so batch size has been adjusted to: 4
  Total train batch size (w. parallel, distributed & accumulation) = 4
  Gradient Accumulation steps = 1
  Total optimization steps = 10
  Number of trainable parameters = 3,407,872
  0%|          | 0/10 [00:00<?, ?it/s]You're using a PreTrainedTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
libi40iw-i40iw_ualloc_context: failed to allocate context for device.
libi40iw-i40iw_ualloc_context: failed to allocate context for device.
/home/adyan/cs539/venv/lib/python3.9/site-packages/torch/utils/checkpoint.py:464: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/adyan/cs539/venv/lib/python3.9/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
 10%|█         | 1/10 [00:04<00:37,  4.20s/it]                                               10%|█         | 1/10 [00:04<00:37,  4.20s/it] 20%|██        | 2/10 [00:08<00:31,  3.99s/it]                                               20%|██        | 2/10 [00:08<00:31,  3.99s/it]Saving model checkpoint to ./results/checkpoint-2
tokenizer config file saved in ./results/checkpoint-2/tokenizer_config.json
Special tokens file saved in ./results/checkpoint-2/special_tokens_map.json
/home/adyan/cs539/venv/lib/python3.9/site-packages/torch/utils/checkpoint.py:464: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/adyan/cs539/venv/lib/python3.9/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
 30%|███       | 3/10 [00:11<00:26,  3.78s/it]                                               30%|███       | 3/10 [00:11<00:26,  3.78s/it] 40%|████      | 4/10 [00:14<00:20,  3.45s/it]                                               40%|████      | 4/10 [00:14<00:20,  3.45s/it]Saving model checkpoint to ./results/checkpoint-4
tokenizer config file saved in ./results/checkpoint-4/tokenizer_config.json
Special tokens file saved in ./results/checkpoint-4/special_tokens_map.json
/home/adyan/cs539/venv/lib/python3.9/site-packages/torch/utils/checkpoint.py:464: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/adyan/cs539/venv/lib/python3.9/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
 50%|█████     | 5/10 [00:18<00:18,  3.76s/it]                                               50%|█████     | 5/10 [00:18<00:18,  3.76s/it]***** Running Evaluation *****
  Num examples = 2586
  Batch size = 4
{'loss': 2.8283, 'learning_rate': 0.0001, 'epoch': 0.0}
{'loss': 2.6077, 'learning_rate': 0.0001, 'epoch': 0.0}
{'loss': 2.88, 'learning_rate': 0.0001, 'epoch': 0.0}
{'loss': 2.4635, 'learning_rate': 0.0001, 'epoch': 0.0}
{'loss': 2.4152, 'learning_rate': 0.0001, 'epoch': 0.0}

  0%|          | 0/647 [00:00<?, ?it/s][A
  0%|          | 2/647 [00:01<08:38,  1.24it/s][A
  0%|          | 3/647 [00:03<12:13,  1.14s/it][A
  1%|          | 4/647 [00:04<14:05,  1.32s/it][A
  1%|          | 5/647 [00:06<15:10,  1.42s/it][A
  1%|          | 6/647 [00:07<15:38,  1.46s/it][A
  1%|          | 7/647 [00:09<16:06,  1.51s/it][A
  1%|          | 8/647 [00:11<16:19,  1.53s/it][A
  1%|▏         | 9/647 [00:12<16:32,  1.56s/it][A
  2%|▏         | 10/647 [00:14<16:42,  1.57s/it][A
  2%|▏         | 11/647 [00:16<16:47,  1.58s/it][A
  2%|▏         | 12/647 [00:17<16:51,  1.59s/it][A
  2%|▏         | 13/647 [00:19<16:45,  1.59s/it][A
  2%|▏         | 14/647 [00:20<16:46,  1.59s/it][A
  2%|▏         | 15/647 [00:22<16:42,  1.59s/it][A
  2%|▏         | 16/647 [00:23<16:08,  1.54s/it][A
  3%|▎         | 17/647 [00:25<16:03,  1.53s/it][A
  3%|▎         | 18/647 [00:26<16:17,  1.55s/it][A
  3%|▎         | 19/647 [00:28<16:10,  1.55s/it][A
  3%|▎         | 20/647 [00:29<16:05,  1.54s/it][A
  3%|▎         | 21/647 [00:31<16:16,  1.56s/it][A
  3%|▎         | 22/647 [00:33<16:25,  1.58s/it][A
  4%|▎         | 23/647 [00:34<16:30,  1.59s/it][A
  4%|▎         | 24/647 [00:36<16:35,  1.60s/it][A
  4%|▍         | 25/647 [00:38<16:37,  1.60s/it][A
  4%|▍         | 26/647 [00:39<16:38,  1.61s/it][A
  4%|▍         | 27/647 [00:41<16:39,  1.61s/it][A
  4%|▍         | 28/647 [00:42<16:38,  1.61s/it][A
  4%|▍         | 29/647 [00:44<16:37,  1.61s/it][A
  5%|▍         | 30/647 [00:46<16:36,  1.62s/it][A
  5%|▍         | 31/647 [00:47<16:35,  1.62s/it][A
  5%|▍         | 32/647 [00:49<16:34,  1.62s/it][A
  5%|▌         | 33/647 [00:50<16:33,  1.62s/it][A
  5%|▌         | 34/647 [00:52<16:20,  1.60s/it][A
  5%|▌         | 35/647 [00:54<16:12,  1.59s/it][A
  6%|▌         | 36/647 [00:55<16:18,  1.60s/it][A
  6%|▌         | 37/647 [00:57<16:20,  1.61s/it][A
  6%|▌         | 38/647 [00:58<16:21,  1.61s/it][A
  6%|▌         | 39/647 [01:00<16:22,  1.62s/it][A
  6%|▌         | 40/647 [01:02<16:21,  1.62s/it][A
  6%|▋         | 41/647 [01:03<16:20,  1.62s/it][A
  6%|▋         | 42/647 [01:05<15:22,  1.53s/it][A
  7%|▋         | 43/647 [01:06<15:00,  1.49s/it][A
  7%|▋         | 44/647 [01:08<15:22,  1.53s/it][A
  7%|▋         | 45/647 [01:09<15:38,  1.56s/it][A
  7%|▋         | 46/647 [01:11<15:47,  1.58s/it][A
  7%|▋         | 47/647 [01:13<15:54,  1.59s/it][A
  7%|▋         | 48/647 [01:14<15:58,  1.60s/it][A
  8%|▊         | 49/647 [01:16<16:01,  1.61s/it][A
  8%|▊         | 50/647 [01:17<16:03,  1.61s/it][A
  8%|▊         | 51/647 [01:19<16:03,  1.62s/it][A
  8%|▊         | 52/647 [01:20<15:27,  1.56s/it][A
  8%|▊         | 53/647 [01:22<14:41,  1.48s/it][A
  8%|▊         | 54/647 [01:23<14:36,  1.48s/it][A
  9%|▊         | 55/647 [01:25<15:01,  1.52s/it][A
  9%|▊         | 56/647 [01:27<15:16,  1.55s/it][A
  9%|▉         | 57/647 [01:28<15:29,  1.57s/it][A
  9%|▉         | 58/647 [01:30<15:36,  1.59s/it][A
  9%|▉         | 59/647 [01:31<15:42,  1.60s/it][A
  9%|▉         | 60/647 [01:33<15:45,  1.61s/it][A
  9%|▉         | 61/647 [01:35<15:47,  1.62s/it][A
 10%|▉         | 62/647 [01:36<15:47,  1.62s/it][A
 10%|▉         | 63/647 [01:38<15:47,  1.62s/it][A
 10%|▉         | 64/647 [01:40<15:48,  1.63s/it][A
 10%|█         | 65/647 [01:41<15:46,  1.63s/it][A
 10%|█         | 66/647 [01:43<15:45,  1.63s/it][A
 10%|█         | 67/647 [01:44<15:44,  1.63s/it][A
 11%|█         | 68/647 [01:46<15:42,  1.63s/it][A
 11%|█         | 69/647 [01:48<15:40,  1.63s/it][A
 11%|█         | 70/647 [01:49<15:03,  1.57s/it][A
 11%|█         | 71/647 [01:51<14:52,  1.55s/it][A
 11%|█         | 72/647 [01:52<15:04,  1.57s/it][A
 11%|█▏        | 73/647 [01:54<15:13,  1.59s/it][A
 11%|█▏        | 74/647 [01:56<15:18,  1.60s/it][A
 12%|█▏        | 75/647 [01:57<15:21,  1.61s/it][A
 12%|█▏        | 76/647 [01:59<15:23,  1.62s/it][A
 12%|█▏        | 77/647 [02:00<15:25,  1.62s/it][A
 12%|█▏        | 78/647 [02:02<15:24,  1.62s/it][A
 12%|█▏        | 79/647 [02:04<15:14,  1.61s/it][A
 12%|█▏        | 80/647 [02:05<15:09,  1.60s/it][A
 13%|█▎        | 81/647 [02:07<15:11,  1.61s/it][A
 13%|█▎        | 82/647 [02:08<15:13,  1.62s/it][A
 13%|█▎        | 83/647 [02:10<15:15,  1.62s/it][A
 13%|█▎        | 84/647 [02:12<15:16,  1.63s/it][A
 13%|█▎        | 85/647 [02:13<15:14,  1.63s/it][A
 13%|█▎        | 86/647 [02:15<15:14,  1.63s/it][A
 13%|█▎        | 87/647 [02:17<15:13,  1.63s/it][A
 14%|█▎        | 88/647 [02:18<15:12,  1.63s/it][A
 14%|█▍        | 89/647 [02:20<15:10,  1.63s/it][A
 14%|█▍        | 90/647 [02:22<15:09,  1.63s/it][A
 14%|█▍        | 91/647 [02:23<15:08,  1.63s/it][A
 14%|█▍        | 92/647 [02:25<15:07,  1.63s/it][A
 14%|█▍        | 93/647 [02:26<15:05,  1.63s/it][A
 15%|█▍        | 94/647 [02:28<15:03,  1.63s/it][A
 15%|█▍        | 95/647 [02:30<15:02,  1.63s/it][A
 15%|█▍        | 96/647 [02:31<14:59,  1.63s/it][A
 15%|█▍        | 97/647 [02:33<14:50,  1.62s/it][A
 15%|█▌        | 98/647 [02:35<14:49,  1.62s/it][A
 15%|█▌        | 99/647 [02:36<14:50,  1.62s/it][A
 15%|█▌        | 100/647 [02:38<14:50,  1.63s/it][A
 16%|█▌        | 101/647 [02:39<14:50,  1.63s/it][A
 16%|█▌        | 102/647 [02:41<14:49,  1.63s/it][A
 16%|█▌        | 103/647 [02:43<14:48,  1.63s/it][A
 16%|█▌        | 104/647 [02:44<14:46,  1.63s/it][A
 16%|█▌        | 105/647 [02:46<14:35,  1.62s/it][A
 16%|█▋        | 106/647 [02:47<14:00,  1.55s/it][A
 17%|█▋        | 107/647 [02:49<13:30,  1.50s/it][A
 17%|█▋        | 108/647 [02:50<13:32,  1.51s/it][A
 17%|█▋        | 109/647 [02:52<13:51,  1.54s/it][A
 17%|█▋        | 110/647 [02:54<14:04,  1.57s/it][A
 17%|█▋        | 111/647 [02:55<14:12,  1.59s/it][A
 17%|█▋        | 112/647 [02:57<14:07,  1.58s/it][A
 17%|█▋        | 113/647 [02:58<13:29,  1.52s/it][A
 18%|█▊        | 114/647 [03:00<13:23,  1.51s/it][A
 18%|█▊        | 115/647 [03:01<13:41,  1.54s/it][A
 18%|█▊        | 116/647 [03:03<13:54,  1.57s/it][A
 18%|█▊        | 117/647 [03:04<14:03,  1.59s/it][A
 18%|█▊        | 118/647 [03:06<14:09,  1.61s/it][A
 18%|█▊        | 119/647 [03:08<14:14,  1.62s/it][A
 19%|█▊        | 120/647 [03:09<14:15,  1.62s/it][A
 19%|█▊        | 121/647 [03:11<14:16,  1.63s/it][A
 19%|█▉        | 122/647 [03:13<14:09,  1.62s/it][A
 19%|█▉        | 123/647 [03:14<14:06,  1.61s/it][A
 19%|█▉        | 124/647 [03:16<14:07,  1.62s/it][A
 19%|█▉        | 125/647 [03:17<14:08,  1.63s/it][A
 19%|█▉        | 126/647 [03:19<14:09,  1.63s/it][A
 20%|█▉        | 127/647 [03:21<14:08,  1.63s/it][A
 20%|█▉        | 128/647 [03:22<14:08,  1.63s/it][A
 20%|█▉        | 129/647 [03:24<14:08,  1.64s/it][A
 20%|██        | 130/647 [03:26<14:06,  1.64s/it][A
 20%|██        | 131/647 [03:27<14:05,  1.64s/it][A
 20%|██        | 132/647 [03:29<14:03,  1.64s/it][A
 21%|██        | 133/647 [03:31<14:02,  1.64s/it][A
 21%|██        | 134/647 [03:32<14:01,  1.64s/it][A
 21%|██        | 135/647 [03:34<13:59,  1.64s/it][A
 21%|██        | 136/647 [03:36<13:58,  1.64s/it][A
 21%|██        | 137/647 [03:37<13:56,  1.64s/it][A
 21%|██▏       | 138/647 [03:39<13:54,  1.64s/it][A
 21%|██▏       | 139/647 [03:40<13:53,  1.64s/it][A
 22%|██▏       | 140/647 [03:42<13:44,  1.63s/it][A
 22%|██▏       | 141/647 [03:44<13:28,  1.60s/it][A
 22%|██▏       | 142/647 [03:45<13:17,  1.58s/it][A
